id,warehouse_block,mode_of_shipment,cost_of_product,prior_purchases,product_importance,gender,discount_offered,weight_gms,customer_care_calls,customer_rating,reached_on_time,weight_bucket,high_value,discount_tier,warehouse_enc,shipment_enc,importance_enc,gender_enc
1,D,Flight,177,3,low,F,44,1233,4,2,1,Light,0,High,3,0,0,0
2,F,Flight,216,2,low,M,59,3088,4,5,1,Medium,0,High,4,0,0,1
3,A,Flight,183,4,low,M,48,3374,2,2,1,Medium,0,High,0,0,0,1
4,B,Flight,176,4,medium,M,10,1177,3,3,1,Light,0,Low,1,0,1,1
5,C,Flight,184,3,medium,F,46,2484,2,2,1,Medium,0,High,2,0,1,0
6,F,Flight,162,3,medium,F,12,1417,3,1,1,Light,0,Medium,4,0,1,0
7,D,Flight,250,3,low,F,3,2371,3,4,1,Medium,0,Low,3,0,0,0
8,F,Flight,233,2,low,F,48,2804,4,1,1,Medium,0,High,4,0,0,0
9,A,Flight,150,3,low,F,11,1861,3,4,1,Light,0,Medium,0,0,0,0
10,B,Flight,164,3,medium,F,29,1187,3,2,1,Light,0,Medium,1,0,1,0
11,C,Flight,189,2,medium,M,12,2888,3,4,1,Medium,0,Medium,2,0,1,1
12,F,Flight,232,3,medium,F,32,3253,4,5,1,Medium,0,High,4,0,1,0
13,D,Flight,198,3,medium,F,1,3667,3,5,1,Medium,0,Low,3,0,1,0
14,F,Flight,275,3,high,M,29,2602,4,4,1,Medium,1,Medium,4,0,2,1
15,A,Flight,152,3,low,M,43,1009,4,3,1,Light,0,High,0,0,0,1
16,B,Flight,227,3,low,F,45,2707,4,3,1,Medium,0,High,1,0,0,0
17,C,Flight,143,2,medium,F,6,1194,3,4,1,Light,0,Low,2,0,1,0
18,F,Ship,227,3,medium,M,36,3952,5,5,1,Medium,0,High,4,2,1,1
19,D,Ship,239,3,high,M,18,2495,5,5,1,Medium,0,Medium,3,2,2,1
20,F,Ship,145,3,medium,M,45,1059,4,5,1,Light,0,High,4,2,1,1
21,A,Ship,161,2,medium,F,38,1521,3,3,1,Light,0,High,0,2,1,0
22,B,Ship,232,4,medium,F,51,2899,3,1,1,Medium,0,High,1,2,1,0
23,C,Ship,156,2,low,M,2,1750,2,5,1,Light,0,Low,2,2,0,1
24,F,Ship,211,3,high,M,12,3922,4,3,1,Medium,0,Medium,4,2,2,1
25,D,Ship,251,2,medium,F,28,3561,4,5,1,Medium,1,Medium,3,2,1,0
26,F,Ship,225,4,low,M,29,3496,3,1,1,Medium,0,Medium,4,2,0,1
27,A,Ship,172,3,high,F,24,1066,4,1,1,Light,0,Medium,0,2,2,0
28,B,Ship,162,3,medium,M,31,1435,5,1,1,Light,0,High,1,2,1,1
29,C,Ship,234,4,low,M,44,3134,2,3,1,Medium,0,High,2,2,0,1
30,F,Ship,183,2,low,F,36,3819,5,4,1,Medium,0,High,4,2,0,0
31,D,Ship,266,2,medium,F,38,2741,3,4,1,Medium,1,High,3,2,1,0
32,F,Ship,257,2,low,F,61,3341,5,3,1,Medium,1,High,4,2,0,0
33,A,Ship,223,3,low,F,22,3795,3,1,1,Medium,0,Medium,0,2,0,0
34,B,Ship,234,3,medium,M,4,3261,4,2,1,Medium,0,Low,1,2,1,1
35,C,Ship,227,4,medium,F,22,2460,4,2,1,Medium,0,Medium,2,2,1,0
